,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total nev
0,1,0,0,610,61,0,0,0,0,0,0,0,671
0,2,0,0,436,231,4,0,0,0,0,0,0,671
0,3,0,3,310,283,71,4,0,0,0,0,0,671
0,4,0,12,161,242,139,86,24,7,0,0,0,671
0,5,4,23,134,181,130,89,64,36,10,0,0,671
