,Epoch,0.0-0.05,0.05-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1,Total nev
0,1,0,0,17,83,172,173,119,77,26,4,0,671
0,2,0,0,8,17,40,39,67,95,114,159,132,671
0,3,0,0,8,19,22,36,34,61,91,143,257,671
0,4,0,1,18,11,16,39,36,56,67,134,293,671
0,5,0,2,10,17,15,16,28,45,60,114,364,671
